session_dir,infra_error,missing_npcs,experiment_id,config_label,git_sha,builtin_subplans,goals_expected,goals_met,success,first_plan_success,t_success,duration_s,end_reason,llm_calls,llm_s,plan_requests,replans,ladder_advance,n_act,actions_failed,transforms_code,transforms_llm,plan_calls_to_ablated,ablated_loaded,manipulation_ok,primary_cause,signals,subplans_loaded,peer_requests_sent,peer_requests_accepted,peer_requests_refused,peer_transfers,peer_wait_timeouts,arbitrations,max_peer_depth,n_act_by_npc
logs\sessions\20260916\175102,False,,CO5,SUB,3c435fd,True,1,1,True,True,55.756,59.373,idle,12,24.142,2,0,2,15,0,3,2,8,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\175204,False,,CO6,DET,3c435fd,True,1,1,True,True,41.617,45.859,idle,1,4.317,0,0,0,19,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 5}"
logs\sessions\20260916\175251,False,,CO6,SUB,3c435fd,True,1,1,True,True,66.275,70.151,idle,16,31.363,3,0,2,20,1,7,2,6,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,action_failures,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 6}"
logs\sessions\20260916\175403,False,,CO6,ATOM,3c435fd,False,1,1,True,False,134.711,138.385,idle,39,98.631,5,2,7,26,4,16,0,0,,True,,action_failures,0,4,4,0,2,3,2,2,"{'npc_miller': 20, 'npc_baker': 6}"
logs\sessions\20260916\175626,False,,CO5,DET,3c435fd,True,1,1,True,True,34.946,38.2,idle,1,4.39,0,0,0,15,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\175707,False,,CO5,SUB,3c435fd,True,1,1,True,True,57.77,62.185,idle,12,23.865,2,0,2,15,0,3,2,8,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\175812,False,,CO5,ATOM,3c435fd,False,1,0,False,False,,238.574,idle,93,220.66,12,9,27,26,0,45,0,0,,True,failed_after_replans:action_failed:peer_refused:already_failed,failed_after_replans:ladder_stuck;failed_after_replans:ladder_stuck;failed_after_replans:action_failed:peer_refused:already_failed,0,10,3,7,0,3,0,1,{'npc_miller': 26}
logs\sessions\20260916\180214,False,,CO6,SUB,3c435fd,True,1,1,True,True,66.05,70.255,idle,16,30.511,3,0,2,20,1,7,2,6,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,action_failures,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 6}"
logs\sessions\20260916\180326,False,,CO6,ATOM,3c435fd,False,1,1,True,False,114.108,117.229,idle,32,76.08,4,1,8,30,4,14,0,0,,True,,action_failures,0,4,4,0,2,0,2,2,"{'npc_miller': 22, 'npc_baker': 8}"
logs\sessions\20260916\180528,False,,CO6,DET,3c435fd,True,1,1,True,True,41.261,44.391,idle,1,4.373,0,0,0,19,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 5}"
logs\sessions\20260916\180615,False,,CO5,SUB,3c435fd,True,1,1,True,True,52.332,56.303,idle,12,22.769,2,0,2,15,0,3,2,8,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\180714,False,,CO5,ATOM,3c435fd,False,1,1,True,False,123.253,127.336,idle,42,96.503,5,3,4,29,7,18,0,0,,True,,action_failures,0,2,2,0,1,3,0,1,"{'npc_miller': 20, 'npc_baker': 9}"
logs\sessions\20260916\180925,False,,CO5,DET,3c435fd,True,1,1,True,True,39.161,42.602,idle,1,4.265,0,0,0,15,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,1,1,0,1,0,0,1,"{'npc_miller': 12, 'npc_baker': 3}"
logs\sessions\20260916\181009,False,,CO6,ATOM,3c435fd,False,1,1,True,False,109.882,113.727,idle,31,72.114,4,1,8,30,4,16,0,0,,True,,action_failures,0,4,4,0,2,0,2,2,"{'npc_miller': 22, 'npc_baker': 8}"
logs\sessions\20260916\181208,False,,CO6,DET,3c435fd,True,1,1,True,True,41.202,45.47,idle,1,4.351,0,0,0,19,0,0,0,0,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 5}"
logs\sessions\20260916\181256,False,,CO6,SUB,3c435fd,True,1,1,True,True,68.218,71.486,idle,17,31.233,3,0,2,20,1,6,3,6,collect_from_peer;craft_item;move_to_and_pickup;obtain_from_peer,True,,action_failures,0,2,2,0,2,0,1,2,"{'npc_miller': 14, 'npc_baker': 6}"
